Weber-Stephen CZ & SK spol. s r.o.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ceník Premium Plus 2020;;;;;;;;;;;;;
platný od 01. 10. 2019 do 30. 09. 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;NOVÝ;Číslo artiklu;EAN kód;Popis artiklu;Min. objednací množství;Počet kusů na paletě;NC CZK;DPC CZK;NC EUR;DPC EUR;Kategorie;NC
Dřevěné uhlí;;;;;;;;;;;;;
HOLZKOHLE;Smokey Joe;;;;;;;;;;;;
HOLZKOHLE;Smokey Joe;;1121004;0077924003134;Smokey Joe® Premium gril na dřevěné uhlí Ø 37 cm, Black;1;32; 	1 826,57 Kč ; 	2 290,00 Kč ; 	71,63 € ; 	89,99 € ;Non; 	1 410,42 Kč 
HOLZKOHLE;Smokey Joe;;1125004;0077924003820;Smokey Joe® Premium gril na dřevěné uhlí Ø 37 cm, Ivory;1;32; 	1 826,57 Kč ; 	2 290,00 Kč ; 	71,63 € ; 	89,99 € ;Non; 	1 410,42 Kč 
HOLZKOHLE;Smokey Joe;;1126804;0077924029936;Smokey Joe® Premium gril na dřevěné uhlí Ø 37 cm, Slate Blue;1;32; 	1 826,57 Kč ; 	2 290,00 Kč ; 	71,63 € ; 	89,99 € ;Non; 	1 410,42 Kč 
HOLZKOHLE;Smokey Joe;;1127704;0077924003707;Smokey Joe® Premium gril na dřevěné uhlí Ø 37 cm, Spring Green;1;32; 	1 826,57 Kč ; 	2 290,00 Kč ; 	71,63 € ; 	89,99 € ;Non; 	1 410,42 Kč 
HOLZKOHLE;Go-Anywhere;;;;;;;;;;;; 	-   Kč 
HOLZKOHLE;Go-Anywhere;;1131004;0077924029271;Go-Anywhere na dřevěné uhlí, Black;1;24; 	2 037,20 Kč ; 	2 490,00 Kč ; 	79,89 € ; 	99,99 € ;Partner; 	1 573,06 Kč 
PROMO SORTIMENT;;;;;;;;;;;;; 	-   Kč 
PROMOTIONSORTIMENT;Compact Kettle Promo sortiment;;;;;;;;;;;; 	-   Kč 
PROMOTIONSORTIMENT;Compact Kettle Promotion-Sortiment;;1221004;0077924002328;Compact Ø 47cm, Black;1;18; 	2 180,25 Kč ; 	2 790,00 Kč ; 	85,50 € ; 	109,99 € ;Non; 	1 683,52 Kč 
PROMOTIONSORTIMENT;Compact Kettle Promotion-Sortiment;;1321004;0077924002335;Compact Ø 57cm, Black;1;12; 	3 034,50 Kč ; 	3 990,00 Kč ; 	119,00 € ; 	159,99 € ;Non; 	2 343,15 Kč 
PROMOTIONSORTIMENT;Bar-B-Kettle Promo sortiment;;;;;;;;;;;; 	-   Kč 
PROMOTIONSORTIMENT;Bar-B-Kettle Promotion-Sortiment;;1231004;0077924003202;Bar-B-Kettle Ø 47 CM, Black;1;12; 	2 601,00 Kč ; 	3 290,00 Kč ; 	102,00 € ; 	129,99 € ;Special Assortment; 	2 008,41 Kč 
PROMOTIONSORTIMENT;Bar-B-Kettle Promotion-Sortiment;;1331004;0077924003233;Bar-B-Kettle Ø 57cm, Black;1;10; 	3 366,00 Kč ; 	4 390,00 Kč ; 	132,00 € ; 	169,99 € ;Special Assortment; 	2 599,12 Kč 
HOLZKOHLE;Original Kettle;;;;;;;;;;;; 	-   Kč 
HOLZKOHLE;Original Kettle;;13101004;0077924085390;Original Kettle® E-4710 gril na dřevěné uhlí Ø 47 cm, Black;1;12; 	3 672,00 Kč ; 	4 690,00 Kč ; 	144,00 € ; 	179,99 € ;Partner; 	2 835,40 Kč 
;Original Kettle;;14101004;0077924085406;Original Kettle® E-5710 gril na dřevěné uhlí Ø 57 cm, Black;1;10; 	4 360,50 Kč ; 	5 490,00 Kč ; 	171,00 € ; 	219,00 € ;Partner; 	3 367,04 Kč 
HOLZKOHLE;Master Touch;;;;;;;;;;;; 	-   Kč 
HOLZKOHLE;Master Touch;;14701004;0077924085420;Master-Touch® GBS E-5750 gril na dřevěné uhlí Ø 57 cm, Black;1;10; 	5 538,09 Kč ; 	6 990,00 Kč ; 	217,18 € ; 	279,00 € ;Partner; 	4 276,34 Kč 
HOLZKOHLE;Master Touch;;14713004;0077924085475;Master-Touch® GBS C-5750 gril na dřevěné uhlí Ø 57 cm, Slate Blue;1;10; 	6 530,55 Kč ; 	8 490,00 Kč ; 	256,10 € ; 	329,00 € ;Special Assortment; 	5 042,68 Kč 
;;;14710004;0077924085468;Master-Touch® GBS C-5750 gril na dřevěné uhlí Ø 57 cm, Smoke Grey;1;10; 	6 530,55 Kč ; 	8 490,00 Kč ; 	256,10 € ; 	329,00 € ;Special Assortment; 	5 042,68 Kč 
HOLZKOHLE;Master Touch;;17401004;0077924085451;Master-Touch® GBS Premium SE E-5775 gril na dřevěné uhlí Ø 57 cm, Black s GBS roštem Sear Grate;1;10; 	7 920,30 Kč ; 	9 990,00 Kč ; 	310,60 € ; 	399,00 € ;Premium; 	6 115,81 Kč 
HOLZKOHLE;Smoke Fire;;;;;;;;;;;; 	-   Kč 
;;NOVÝ;22511004;0077924146671;SmokeFire EX4 GBS, 61 cm, peletový gril;1;; 	24 225,00 Kč ; 	29 990,00 Kč ; 	950,00 € ; 	1 199,00 € ;Premium; 	18 705,78 Kč 
;;NOVÝ;23511004;0077924146688;SmokeFire EX6 GBS, 91 cm, peletový gril;1;; 	30 345,00 Kč ; 	37 990,00 Kč ; 	1 190,00 € ; 	1 499,00 € ;Premium; 	23 431,45 Kč 
HOLZKOHLE;Performer;;;;;;;;;;;; 	-   Kč 
;Performer;;15301004;0077924033117;Performer GBS gril na dřevěné uhlí Ø 57 cm, Black;1;5; 	8 958,92 Kč ; 	11 490,00 Kč ; 	351,33 € ; 	449,00 € ;Partner; 	6 917,80 Kč 
HOLZKOHLE;Performer;;15501004;0077924033179;Performer Deluxe GBS gril na dřevěné uhlí Ø 57 cm, Black;1;3; 	12 103,32 Kč ; 	15 490,00 Kč ; 	474,64 € ; 	599,00 € ;Partner; 	9 345,80 Kč 
HOLZKOHLE;Smokey Mountain Cooker;;;;;;;;;;;; 	-   Kč 
HOLZKOHLE;Smokey Mountain Cooker;;721004;0077924004773;Smokey Mountain Cooker Smoker Ø 47 cm, Black;1;6; 	7 780,05 Kč ; 	9 990,00 Kč ; 	305,10 € ; 	399,00 € ;Partner; 	6 007,51 Kč 
HOLZKOHLE;Smokey Mountain Cooker;;731004;0077924009167;Smokey Mountain Cooker Smoker Ø 57 cm, Black;1;2; 	9 923,33 Kč ; 	12 990,00 Kč ; 	389,15 € ; 	499,00 € ;Partner; 	7 662,48 Kč 
ELEKTRO;;;;;;;;;;;;; 	-   Kč 
ELEKTRO;Pulse;;;;;;;;;;;; 	-   Kč 
;;;81010079;0077924060489;PULSE 1000 elektrický gril,  Black;1;8; 	10 169,40 Kč ; 	12 990,00 Kč ; 	398,80 € ; 	499,00 € ;Smart; 	7 852,49 Kč 
;;;82010079;0077924060519;PULSE 2000 elektrický gril, Black;1;6; 	15 522,62 Kč ; 	21 990,00 Kč ; 	608,73 € ; 	849,00 € ;Smart; 	11 986,08 Kč 
;;;85010079;0077924060595;PULSE 2000 elektrický gril s vozíkem, Black;1;2; 	18 619,08 Kč ; 	25 490,00 Kč ; 	730,16 € ; 	999,00 € ;Smart; 	14 377,07 Kč 
ELEKTRO;Weber Q;;;;;;;;;;;; 	-   Kč 
ELEKTRO;Weber Q;;52020079;0077924024160;Weber® Q 1400 elektrický gril, Dark Grey;1;12; 	5 835,17 Kč ; 	7 990,00 Kč ; 	228,83 € ; 	299,00 € ;Partner; 	4 505,73 Kč 
ELEKTRO;Weber Q;;52020879;0077924024207;Weber® Q 1400 Stand elektrický gril, Dark Grey;1;12; 	6 912,80 Kč ; 	8 990,00 Kč ; 	271,09 € ; 	349,00 € ;Partner; 	5 337,85 Kč 
ELEKTRO;Weber Q;;55020079;0077924024429;Weber® Q 2400 elektrický gril, Dark Grey;1;6; 	8 524,14 Kč ; 	11 490,00 Kč ; 	334,28 € ; 	449,00 € ;Partner; 	6 582,07 Kč 
ELEKTRO;Weber Q;;55020879;0077924024436;Weber® Q 2400 Stand elektrický gril, Dark Grey;1;6; 	9 721,37 Kč ; 	12 990,00 Kč ; 	381,23 € ; 	499,00 € ;Partner; 	7 506,54 Kč 
Plyn;;;;;;;;;;;;; 	-   Kč 
GAS;Weber Q;;;;;;;;;;;; 	-   Kč 
GAS;;;51010075;0077924026706;Weber® Q 1200 plynový gril, Black;1;9; 	5 866,53 Kč ; 	7 990,00 Kč ; 	230,06 € ; 	299,00 € ;Partner; 	4 529,95 Kč 
GAS;Weber Q;;51012375;0077924065088;Weber® Q 1200 plynový gril, Black  (s tepelným štítem a tep. roštem);1;9; 	5 866,53 Kč ; 	7 990,00 Kč ; 	230,06 € ; 	299,00 € ;Premium; 	4 529,95 Kč 
GAS;Weber Q;;51012475;0077924065118;Weber® Q 1200 Stand plynový gril, Black  (s tepelným štítem a tep. roštem);1;9; 	6 899,79 Kč ; 	8 990,00 Kč ; 	270,58 € ; 	349,00 € ;Premium; 	5 327,80 Kč 
